Nombre,Municipio,Grupo,Renta bruta media 2013 (euros),Renta bruta media 2017,Variación 2013-2017 (%),Variación absoluta (en euros)
28109-La Moraleja,Alcobendas,Top 11,134615,167086,24.121383203952,32471
08017-Vallvidrera-Tibidabo i Les Planes,Barcelona,Top 11,74799,92774,24.03106993409,17975
08034-Pedralbes-Sarriá,Barcelona,Top 11,73118,82927,13.4153012937991,9809
28023-Aravaca,Madrid,Top 11,70595,90877,28.7300800339967,20282
28036-Nueva España,Madrid,Top 11,68875,77156,12.0232304900181,8281
28006-Castellana,Madrid,Top 11,68515,78704,14.8711960884478,10189
28223-Somosaguas-Humera,Pozuelo de Alarcón,Top 11,67009,85460,27.5351072244027,18451
08021-Muntaner,Barcelona,Top 11,66917,80713,20.61658472436,13796
28001-Salamanca- Goya,Madrid,Top 11,65504,91154,39.1579140205178,25650
28108-La Granja-Campus Empresarial,Alcobendas,Top 11,63082,65566,3.93773184109572,2484
08022-Sant Gervasi-La Bonanova,Barcelona,95-98,56956,65735,15.4136526441464,8779
28046-Castilla -Chamartín,Madrid,95-98,55633,67086,20.5867021372207,11453
46004-Pla de Remei,Valencia,95-98,53876,63537,17.9319177370258,9661
28224-Pozuelo de Alarcón,Pozuelo de Alarcón,95-98,53631,59242,10.4622326639444,5611
08008-Diagonal-Provença,Barcelona,95-98,53166,60477,13.7512696083963,7311
28016-Hispanoamerica-Costillares,Madrid,95-98,52993,62890,18.6760515539788,9897
08007-Passeig de Gràcia-Rambla de Catalunya,Barcelona,95-98,52718,61880,17.3792632497439,9162
28010-Almagro,Madrid,95-98,49317,65353,32.5161708944177,16036
46002-El Centro,Valencia,95-98,48913,59663,21.9777973135976,10750
28049-El Goloso,Madrid,95-98,46652,52945,13.4892394752637,6293
28014-Retiro,Madrid,95-98,46596,55959,20.0939994849343,9363
28002-Chamartín,Madrid,95-98,46491,55386,19.1327353681358,8895
28043-Hortaleza-Canillas,Madrid,95-98,45825,50360,9.89634478996181,4535
28040-Ciudad Universitaria,Madrid,95-98,45655,57738,26.4658854451867,12083
28003-Chamberí-Rios Rosas,Madrid,95-98,45563,50559,10.9650374207142,4996
08006-Sant Gervasi,Barcelona,95-98,45547,52173,14.5476101609327,6626
28050-Las Tablas,Madrid,95-98,45239,50783,12.2549127964809,5544
28009-Ibiza-Niño Jesús,Madrid,90-95,44415,50349,13.3603512326917,5934
07012-San Jaume,Palma de Mallorca,90-95,43759,56985,30.2246395027309,13226
28042-Barajas-La Alameda de Osuna,Madrid,90-95,43754,45206,3.3185537322302,1452
35005-Ciudad Jardín,Las Palmas,90-95,43156,53933,24.9721939011957,10777
08010-Tetúan-Urquinaona,Barcelona,90-95,43050,48712,13.1521486643438,5662
28008-Moncloa,Madrid,90-95,43033,48985,13.8312457881161,5952
28034-Tres Olivos,Madrid,90-95,43009,47822,11.1906810202516,4813
28035-Fuencarral,Madrid,90-95,42851,47209,10.1701243844951,4358
15004-Juan Flórez-San Pablo,A Coruña,90-95,42761,46171,7.974556254531,3410
33004-Centro-Oeste,Oviedo,90-95,42346,46010,8.65252916450196,3664
29016-Malagueta-Monte Sancha,Málaga,90-95,42321,46785,10.5479549159992,4464
46010-Mestalla,Valencia,90-95,42080,45495,8.11549429657795,3415
07001-Monti-Sion,Palma de Mallorca,90-95,41416,53109,28.2330500289743,11693
08009-Dreta de L Eixample,Barcelona,90-95,41388,47374,14.4631294094907,5986
08037-Verdaguer-L Eixample,Barcelona,90-95,41006,43941,7.15748914792957,2935
41004-Casco Antiguo-Este-Nervión-Sur,Sevilla,90-95,40865,42455,3.89086014927199,1590
30001-La Catedral-San Bartolomé,Murcia,90-95,40466,42164,4.196115257253,1698
35002-Triana,Las Palmas,90-95,39944,43955,10.041558181454,4011
47001-Centro-Paseo Isabel La Católica-Plaza España,Valladolid,90-95,39647,47717,20.3546296062754,8070
08036-L Antiga Esquerra de L Eixample,Barcelona,90-95,39389,44871,13.9175912056666,5482
46005-Gran Vía,Valencia,90-95,39389,43337,10.0231028967478,3948
28007-Adelfas,Madrid,90-95,39288,44027,12.0622072897577,4739
33005-El Cristo,Oviedo,90-95,39165,41717,6.51602195838121,2552
28020-Valdeacederas,Madrid,90-95,38787,42253,8.93598370588084,3466
28028-Guindalera-Fuente El Berro,Madrid,90-95,38781,40639,4.79100590495346,1858
08029-L Nou Esquerra de L Eixample,Barcelona,90-95,38752,42094,8.62407101568951,3342
41018-Nervión-Sur,Sevilla,90-95,38561,41490,7.59575737143746,2929
33003-Centro-Este,Oviedo,80-90,38393,40730,6.08704711796421,2337
33007-Buenavista,Oviedo,80-90,38237,42258,10.5159923634176,4021
